name,ring,quadrant,isNew,description,,,,
Terraform,Adopt,languages-and-frameworks,TRUE,This is our format for IAC. It is the most popular offering in this segment,,,,
Java8,Hold,languages-and-frameworks,TRUE,"Any new services/libraries/repos should not use this, though we have not taken the plunge for bmp.bmp yet",,,,
React,Adopt,languages-and-frameworks,TRUE,Our primary front-end framework. Recommended as the front-end backbone for all services,,,,
Spring,Adopt,languages-and-frameworks,TRUE,"New services should be based on spring-boot. We are aware that the framework comes with a fair bit of overhead in terms of complexity and weight of JAR-files, but we feel that the gains in terms of utility, push towards good code practices and possibility of unification/streamlining between services is well worth it",,,,
ag-grid,Adopt,languages-and-frameworks,TRUE,Front-end tables. Widely used in BMP. Due to license cost and complexity may not be suitable for small use-cases in other products/services,,,,
Apollo-client,Adopt,languages-and-frameworks,TRUE,Front-end graphql client. Included here as an indication that graphql is our chosen protocol for frontend-backend communications,,,,
JUL,Adopt,languages-and-frameworks,TRUE,BMP uses JUL for logging. Other services use JUL over SLF4J,,,,
Micro frontends,Trial,Techniques,TRUE,An architectural style where independently deliverable frontend applications are composed into a greater whole. We are trialling it as a way to split UI development across multiple teams using different technologies.,,,,
ESLint,Adopt,Tools,TRUE,ESLint is a static code analysis tool for identifying problematic patterns found in JavaScript and TypeScript code. It has become a de facto standard, utilizing rich toolset and first class IDEs support.,,,
Prettier,Adopt,Tools,TRUE,Prettier is an opinionated code formatter with support for multiple languages. It has a reasonable default settings and ensures consistent coding style.,,,,
Turborepo,Trial,Tools,TRUE,Turborepo is a high-performance build system for JavaScript and TypeScript codebases, it abstracts the complex configuration needed for most monorepos into a single cohesive build system and creates awesome development experience without the maintenance burden.,,,
Storybook,Trial,Tools,TRUE,Storybook is a frontend workshop for building UI components and pages in isolation. Thousands of teams use it for UI development, testing, and documentation. Storybooks allows us to render components in key states that are tricky to reproduce in an app. Then save those states as stories to revisit during development, testing, and QA.
Liquibase,Trial,Tools,TRUE,Liquibase is a database schema change management solution that enables you to revise and release database changes faster and safer from development to production. Used to version control multiple RDMS schemas.,,,,
Project Reactor,Trial,languages-and-frameworks,TRUE,Reactor is a reactive programming foundation for the JVM and Spring. Used to implement non-blocking DB and HTTP APIs (including Websockets).,,,,
Testcontainers,Trial,languages-and-frameworks,TRUE,"Testcontainers is a Java library that supports JUnit tests, providing lightweight, throwaway instances of services that can run in a Docker container. One of its use cases is testing applications with real database instances.",,,,
AWS DynamoDB,Trial,Platforms,TRUE,"Fast, flexible NoSQL database service for single-digit millisecond performance at any scale. Currently used in the IAC Admin project.",,,,
AWS ECS,Trial,Platforms,TRUE,"Amazon ECS is a fully managed container orchestration service that makes it easy for you to deploy, manage, and scale containerized applications. Currently being used by the IAC Admin project.",,,,
Caddy,Trial,Tools,TRUE,"Caddy is a powerful, extensible platform to serve sites, services, and apps, written in Go. We use Caddy as a reverse proxy. Currently in use as part of the IAC Admin project, but also for local development where TLS and routing to multiple services are required. ",,,,
ElasticSearch,Trial,languages-and-frameworks,TRUE,"ElasticSearch is an indexing an search engine. It builds on Lucene - which we are already using - and provides the same services, but can be scaled across hardware resources to support large amounts of data and requests",,,,
